primal_vertex_tag,dual_quadrangle_element_tag,primal_face_index
818,1,1
928,2,1
865,3,1
865,4,2
895,5,2
818,6,2
835,7,3
899,8,3
866,9,3
856,10,4
903,11,4
896,12,4
830,13,5
886,14,5
878,15,5
872,16,6
914,17,6
901,18,6
876,19,7
877,20,7
832,21,7
869,22,8
879,23,8
870,24,8
886,25,9
902,26,9
878,27,9
59,28,10
867,29,10
830,30,10
856,31,11
896,32,11
864,33,11
828,34,12
885,35,12
880,36,12
901,37,13
914,38,13
889,39,13
890,40,14
928,41,14
818,42,14
871,43,15
873,44,15
872,45,15
879,46,16
903,47,16
870,48,16
866,49,17
887,50,17
835,51,17
852,52,18
867,53,18
842,54,18
873,55,19
914,56,19
872,57,19
818,58,20
895,59,20
888,60,20
867,61,21
886,62,21
830,63,21
832,64,22
918,65,22
876,66,22
835,67,23
887,68,23
29,69,23
72,70,24
866,71,24
826,72,24
30,73,25
835,74,25
29,75,25
833,76,26
871,77,26
64,78,26
880,79,27
885,80,27
863,81,27
70,82,28
859,83,28
69,84,28
833,85,29
873,86,29
871,87,29
829,88,30
876,89,30
860,90,30
881,91,31
919,92,31
821,93,31
821,94,32
917,95,32
881,96,32
866,97,33
899,98,33
826,99,33
823,100,34
902,101,34
864,102,34
864,103,35
907,104,35
823,105,35
868,106,36
927,107,36
831,108,36
859,109,37
900,110,37
69,111,37
840,112,38
841,113,38
820,114,38
870,115,39
903,116,39
856,117,39
852,118,40
886,119,40
867,120,40
56,121,41
908,122,41
897,123,41
870,124,42
915,125,42
819,126,42
856,127,43
916,128,43
870,129,43
836,130,44
899,131,44
835,132,44
870,133,45
916,134,45
915,135,45
824,136,46
891,137,46
884,138,46
901,139,47
931,140,47
872,141,47
888,142,48
895,143,48
889,144,48
839,145,49
859,146,49
70,147,49
831,148,50
923,149,50
868,150,50
842,151,51
867,152,51
820,153,51
897,154,52
908,155,52
833,156,52
68,157,53
929,158,53
56,159,53
827,160,54
914,161,54
912,162,54
61,163,55
840,164,55
820,165,55
906,166,56
913,167,56
46,168,56
891,169,57
927,170,57
884,171,57
822,172,58
883,173,58
840,174,58
822,175,59
840,176,59
62,177,59
817,178,60
885,179,60
40,180,60
875,181,61
898,182,61
37,183,61
31,184,62
876,185,62
829,186,62
872,187,63
883,188,63
822,189,63
35,190,64
913,191,64
34,192,64
834,193,65
910,194,65
881,195,65
60,196,66
867,197,66
59,198,66
71,199,67
839,200,67
70,201,67
909,202,68
910,203,68
834,204,68
34,205,69
913,206,69
906,207,69
896,208,70
903,209,70
825,210,70
27,211,71
874,212,71
825,213,71
46,214,72
913,215,72
45,216,72
64,217,73
871,218,73
63,219,73
39,220,74
885,221,74
828,222,74
874,223,75
896,224,75
825,225,75
869,226,76
870,227,76
819,228,76
872,229,77
931,230,77
883,231,77
875,232,78
909,233,78
898,234,78
826,235,79
920,236,79
868,237,79
32,238,80
877,239,80
876,240,80
875,241,81
910,242,81
909,243,81
881,244,82
910,245,82
880,246,82
817,247,83
926,248,83
885,249,83
912,250,84
914,251,84
873,252,84
899,253,85
920,254,85
826,255,85
41,256,86
936,257,86
857,258,86
42,259,87
936,260,87
41,261,87
43,262,88
869,263,88
819,264,88
38,265,89
875,266,89
37,267,89
2,268,90
36,269,90
45,270,90
57,271,91
66,272,91
3,273,91
841,274,92
842,275,92
820,276,92
831,277,93
927,278,93
891,279,93
876,280,94
918,281,94
860,282,94
55,283,95
908,284,95
56,285,95
77,286,96
878,287,96
76,288,96
26,289,97
879,290,97
25,291,97
919,292,98
928,293,98
821,294,98
889,295,99
914,296,99
827,297,99
821,298,100
928,299,100
890,300,100
858,301,101
882,302,101
846,303,101
33,304,102
906,305,102
877,306,102
76,307,103
878,308,103
823,309,103
892,310,104
926,311,104
922,312,104
47,313,105
906,314,105
