diamond_tag,primal_a,primal_b,center_x,center_y,center_z,grad_x,grad_y,grad_z,error_to_exact_surface_gradient
1,1,12,0.13769275907035866,-0.002667227618340949,0.9832499173736722,2.74198831453492,-0.005966667878224525,-0.39426088188676306,0.08096894089921787
2,1,122,-0.04442870655969236,-0.1312438586634448,0.9811182396485356,2.696447425946704,-0.27122831967698025,0.1609269212968581,0.15153947255943528
3,1,123,0.028764801537041113,0.11917112120226506,0.9861812363997546,2.8920159830161913,0.05445169056479804,-0.09744127553597134,0.03711192930844358
4,1,140,0.08843985529858346,-0.14106401523722328,0.9773912866542542,2.7904081109633654,0.06416747487496077,-0.23871464379755888,0.05692664700497131
5,1,153,-0.10052021400293382,0.07645576668471697,0.9834384337127979,2.461418244312324,0.204794584902795,0.3308313436689195,0.25338440961868397
6,2,3,0.16423023619999116,-0.0001867032248029435,-0.9786683867565031,2.4616509813075425,0.1262992650361776,0.3505479657973967,0.14711125726484003
7,2,18,0.20215952744435972,-0.13358315330268108,-0.9534941035262808,1.9694777455318706,0.5688559819543961,0.31897427968740505,0.1195512397290129
8,2,119,0.06387180291807444,-0.18714661817414624,-0.9687925173484824,2.55736341104888,0.3256150939579613,0.15175697850506184,0.11832431125085834
9,2,141,0.06949796146772004,0.12359695079180717,-0.9830168765033926,2.715215769514683,-0.271710024782544,0.15745271347352782,0.05699933372355769
10,2,166,-0.0685363962121318,-0.09781497552633332,-0.9853138772519213,2.8308299838024316,-0.017955254615252603,-0.24358887743364765,0.10826305594048787
11,2,186,-0.06159231140440654,0.10547317116501484,-0.984971825219412,2.8401097497625045,0.03520994121396637,-0.2544403358671943,0.12054599503119515
12,3,4,0.4125839845672704,-2.204899457458609e-12,-0.9034329077755967,0.3311986001087164,2.4247327029251215e-11,0.15125333263672938,0.005139228459608864
13,3,15,0.3440563324610569,0.12365769524655687,-0.9234827339422704,0.9242662341766444,-0.6063925355452877,0.2636952435833482,0.017580478902662566
14,3,18,0.3329412793784035,-0.10310336951134876,-0.9291303548243199,1.1521144134982277,0.7273918668502535,0.29153212884862817,0.24292266742714597
15,3,141,0.20983385500733093,0.12365769524765857,-0.9628940092701136,1.9954086820190435,-0.43404495897701767,0.379485655628347,0.05536978953827794
16,4,5,0.6513115674930737,0.0021013850867196704,-0.750132735647105,-1.284214594920459,-0.01898622671644805,-1.1128858446361884,0.08635622928317815
17,4,15,0.47361658187196626,0.12315699032599965,-0.8642242682250788,-0.20014907392112158,-0.6352046918471355,-0.200542195934729,0.011826424847408448
18,4,18,0.47280218823135656,-0.1210276839025499,-0.8651602921318433,-0.18259240462349183,0.6230667238079401,-0.18672673137104512,0.02218789913684759
19,4,127,0.5949586956420052,0.12108745601824367,-0.7859565014401244,-1.0199037384177412,-0.5233935516699533,-0.8509984405075313,0.04786394375681749
20,4,142,0.5913946696617517,-0.11070689753191845,-0.7914210949516931,-1.0079961266746555,0.4799471877461639,-0.8154512328211587,0.049298098899648785
21,5,6,0.8344593563395684,-0.0005123312244311555,-0.5388070024370823,-1.0257742215922139,0.0018812447074164006,-1.596139169591058,0.08908153502541379
22,5,127,0.7007876913234561,0.1200596813818045,-0.6943122237551616,-1.3452505427371715,-0.3978572309881294,-1.420285496195802,0.04366545322550629
23,5,131,0.7872149755161605,-0.1188795629952425,-0.594499459701015,-1.2155568114107254,0.17953424672653506,-1.6527610846762923,0.039101459211391625
24,5,142,0.6977814729774828,-0.11026295868830632,-0.6995090632028604,-1.354819397220968,0.3694405204975575,-1.413042868732502,0.036288094993840135
25,5,144,0.7863337612249217,0.11841421167167096,-0.5963021227920627,-1.2197566539381253,-0.18784143610134463,-1.6481039382683,0.040659365056051285
26,6,7,0.9527228639790318,0.00015464640235055352,-0.2805498906474228,-0.0691868419657669,0.000322032379193322,-0.2356283571425952,0.0005816037730741813
27,6,13,0.9214328744636138,0.12348581624241492,-0.3496724529423587,-0.28002407198321316,0.1542880257386181,-0.6845155607073976,0.014831509619171469
28,6,17,0.9229887720465624,-0.12324027342234682,-0.3454274523778432,-0.2665563725179445,-0.15859989280179732,-0.6556590775829719,0.014524756299877801
29,6,131,0.8636129065987159,-0.12153609136590368,-0.47527683663419484,-0.7549961967730388,0.04017895601206811,-1.38453281488857,0.05794745964928434
30,6,144,0.8619148243490304,0.11916555109732879,-0.47909735030223743,-0.770863910248468,-0.04477067277263047,-1.4020251775267436,0.058287934195551026
31,7,8,0.9931788544144843,4.317184273498059e-05,0.0006644642314784133,4.665772251554403e-08,-0.0006461875721301806,1.325602618734565,0.07638818648605387
32,7,13,0.9619192166051835,0.12449319396269899,-0.21266684155663618,0.036334906196828776,0.22280520620767447,0.2952012192489447,0.033149705925616564
33,7,17,0.9631209959059663,-0.12368251624567633,-0.20858300979049754,0.04106808707019917,-0.2222152533371295,0.32144260611738323,0.03346306057044257
34,7,22,0.9827776349637731,0.12410308348288655,-0.07088203202970796,0.04719938821952026,0.2647518870524222,1.1089495455028437,0.030212151834640582
35,7,138,0.9830134481694041,-0.12372822565586666,-0.06791148427515514,0.045002950458463406,-0.2621006211455003,1.1231952042415245,0.030829657987601507
36,8,9,0.9530241904035537,-4.2275233394444e-05,0.27995702144660395,-0.3857380397288542,-5.056302544713277e-05,1.3137031044516303,0.023534309819210935
37,8,22,0.982971574245076,0.12324945231259024,0.07139127784719304,-0.13986957737506175,0.23873517978479597,1.5280789703664388,0.022101784552852482
38,8,126,0.9634565397086847,0.12036832987054709,0.21019919081368382,-0.3368720449520465,0.17837808585259263,1.4477247660597876,0.03312197461353134
39,8,137,0.9636194670221623,-0.12051838208222655,0.20965607744438525,-0.33686767276979235,-0.17975330708683435,1.4485146941127949,0.03247545225647422
40,8,138,0.9829690931102246,-0.12306423567446564,0.07341242352795577,-0.14235288567035886,-0.2369571430762053,1.5304773798556042,0.02277265320010361
41,9,10,0.835489259078829,0.002075106281473147,0.5373081710271166,-0.36478517099462626,0.0006783390238776924,0.5676115883612681,0.010375071504073184
42,9,16,0.8660796308800699,-0.11281161189634564,0.4743677348931087,-0.3833343031118406,-0.029140174492460813,0.6953249771501955,0.025445243104442915
