diamond_tag,primal_a,primal_b,face_k,face_l
1,1,4,2,19
2,1,6,19,29
3,1,13,21,29
4,1,14,2,21
5,2,3,18,23
6,2,12,1,18
7,2,16,1,30
8,2,17,23,30
9,3,4,7,13
10,3,5,11,13
11,3,9,7,24
12,3,12,11,18
13,3,17,23,24
14,4,5,12,13
15,4,6,12,19
16,4,9,4,7
17,4,14,2,4
18,5,6,10,12
19,5,8,8,10
20,5,12,8,11
21,6,8,9,10
22,6,10,9,25
23,6,13,25,29
24,7,10,16,17
25,7,11,15,16
26,7,13,5,17
27,7,14,5,20
28,7,15,20,22
29,7,16,15,22
30,8,10,9,14
31,8,11,6,14
32,8,12,6,8
33,9,14,4,27
34,9,15,27,28
35,9,17,24,28
36,10,11,14,16
37,10,13,17,25
38,11,12,3,6
39,11,16,3,15
40,12,16,1,3
41,13,14,5,21
42,14,15,20,27
43,15,16,22,26
44,15,17,26,28
45,16,17,26,30
