primal_vertex_tag,dual_quadrangle_element_tag,primal_face_index
1,1,1
78,2,1
38,3,1
38,4,2
78,5,2
68,6,2
36,7,3
73,8,3
44,9,3
15,10,4
33,11,4
22,12,4
31,13,5
36,14,5
33,15,5
38,16,6
73,17,6
36,18,6
21,19,7
95,20,7
12,21,7
59,22,8
72,23,8
68,24,8
69,25,9
74,26,9
58,27,9
28,28,10
91,29,10
75,30,10
36,31,11
37,32,11
33,33,11
44,34,12
67,35,12
66,36,12
31,37,13
33,38,13
15,39,13
40,40,14
81,41,14
80,42,14
12,43,15
79,44,15
21,45,15
74,46,16
75,47,16
58,48,16
22,49,17
32,50,17
15,51,17
28,52,18
75,53,18
74,54,18
20,55,19
34,56,19
25,57,19
80,58,20
84,59,20
40,60,20
26,61,21
95,62,21
21,63,21
36,64,22
44,65,22
37,66,22
5,67,23
16,68,23
13,69,23
22,70,24
34,71,24
20,72,24
66,73,25
94,74,25
44,75,25
17,76,26
81,77,26
18,78,26
24,79,27
81,80,27
17,81,27
16,82,28
17,83,28
13,84,28
33,85,29
37,86,29
34,87,29
4,88,30
16,89,30
5,90,30
70,91,31
77,92,31
26,93,31
10,94,32
16,95,32
4,96,32
34,97,33
35,98,33
25,99,33
3,100,34
10,101,34
4,102,34
44,103,35
98,104,35
67,105,35
58,106,36
86,107,36
69,108,36
68,109,37
85,110,37
59,111,37
33,112,38
34,113,38
22,114,38
31,115,39
38,116,39
36,117,39
73,118,40
98,119,40
44,120,40
75,121,41
97,122,41
58,123,41
1,124,42
38,125,42
31,126,42
17,127,43
18,128,43
13,129,43
58,130,44
97,131,44
53,132,44
34,133,45
37,134,45
35,135,45
12,136,46
27,137,46
3,138,46
4,139,47
12,140,47
3,141,47
61,142,48
87,143,48
54,144,48
53,145,49
61,146,49
54,147,49
61,148,50
88,149,50
87,150,50
61,151,51
90,152,51
88,153,51
65,154,52
70,155,52
62,156,52
9,157,53
15,158,53
8,159,53
1,160,54
31,161,54
9,162,54
5,163,55
13,164,55
6,165,55
65,166,56
77,167,56
70,168,56
8,169,57
14,170,57
9,171,57
66,172,58
67,173,58
60,174,58
54,175,59
56,176,59
55,177,59
62,178,60
66,179,60
60,180,60
54,181,61
55,182,61
52,183,61
14,184,62
78,185,62
9,186,62
51,187,63
58,188,63
53,189,63
56,190,64
65,191,64
62,192,64
53,193,65
54,194,65
52,195,65
56,196,66
60,197,66
55,198,66
56,199,67
62,200,67
60,201,67
63,202,68
72,203,68
59,204,68
57,205,69
63,206,69
59,207,69
51,208,70
53,209,70
52,210,70
57,211,71
59,212,71
49,213,71
51,214,72
52,215,72
50,216,72
71,217,73
74,218,73
69,219,73
48,220,74
51,221,74
50,222,74
50,223,75
57,224,75
49,225,75
64,226,76
71,227,76
69,228,76
48,229,77
50,230,77
49,231,77
64,232,78
69,233,78
47,234,78
48,235,79
49,236,79
46,237,79
45,238,80
64,239,80
47,240,80
47,241,81
48,242,81
46,243,81
45,244,82
47,245,82
46,246,82
45,247,83
46,248,83
43,249,83
41,250,84
45,251,84
43,252,84
43,253,85
68,254,85
42,255,85
25,256,86
26,257,86
21,258,86
41,259,87
43,260,87
42,261,87
20,262,88
25,263,88
21,264,88
41,265,89
42,266,89
39,267,89
20,268,90
21,269,90
19,270,90
11,271,91
22,272,91
20,273,91
40,274,92
41,275,92
39,276,92
11,277,93
20,278,93
19,279,93
7,280,94
32,281,94
11,282,94
30,283,95
40,284,95
39,285,95
11,286,96
19,287,96
6,288,96
10,289,97
91,290,97
28,291,97
44,292,98
94,293,98
37,294,98
16,295,99
23,296,99
17,297,99
30,298,100
39,299,100
14,300,100
11,301,101
32,302,101
22,303,101
10,304,102
28,305,102
23,306,102
75,307,103
91,308,103
90,309,103
6,310,104
19,311,104
5,312,104
7,313,105
11,314,105
6,315,105
39,316,106
78,317,106
14,318,106
10,319,107
23,320,107
16,321,107
72,322,108
73,323,108
38,324,108
3,325,109
91,326,109
10,327,109
3,328,110
27,329,110
2,330,110
9,331,111
31,332,111
15,333,111
9,334,112
78,335,112
1,336,112
46,337,113
85,338,113
43,339,113
29,340,114
30,341,114
14,342,114
23,343,115
24,344,115
17,345,115
26,346,116
93,347,116
70,348,116
54,349,117
87,350,117
56,351,117
80,352,118
81,353,118
24,354,118
47,355,119
86,356,119
48,357,119
13,358,120
82,359,120
6,360,120
18,361,121
82,362,121
13,363,121
71,364,122
92,365,122
74,366,122
43,367,123
85,368,123
68,369,123
49,370,124
85,371,124
46,372,124
8,373,125
29,374,125
14,375,125
4,376,126
79,377,126
12,378,126
71,379,127
80,380,127
24,381,127
21,382,128
79,383,128
19,384,128
63,385,129
73,386,129
72,387,129
69,388,130
86,389,130
47,390,130
48,391,131
86,392,131
51,393,131
6,394,132
82,395,132
7,396,132
57,397,133
76,398,133
63,399,133
8,400,134
32,401,134
7,402,134
42,403,135
78,404,135
39,405,135
55,406,136
83,407,136
52,408,136
41,409,137
84,410,137
45,411,137
74,412,138
92,413,138
28,414,138
45,415,139
84,416,139
64,417,139
40,418,140
84,419,140
41,420,140
70,421,141
89,422,141
62,423,141
62,424,142
89,425,142
66,426,142
40,427,143
101,428,143
81,429,143
64,430,144
80,431,144
71,432,144
52,433,145
83,434,145
50,435,145
50,436,146
83,437,146
57,438,146
19,439,147
79,440,147
5,441,147
7,442,148
29,443,148
8,444,148
5,445,149
79,446,149
4,447,149
2,448,150
91,449,150
3,450,150
77,451,151
95,452,151
26,453,151
35,454,152
93,455,152
25,456,152
51,457,153
86,458,153
58,459,153
7,460,154
82,461,154
29,462,154
30,463,155
101,464,155
40,465,155
24,466,156
92,467,156
71,468,156
88,469,157
99,470,157
87,471,157
67,472,158
100,473,158
60,474,158
89,475,159
93,476,159
35,477,159
59,478,160
85,479,160
49,480,160
76,481,161
100,482,161
67,483,161
67,484,162
98,485,162
76,486,162
70,487,163
93,488,163
89,489,163
15,490,164
32,491,164
8,492,164
56,493,165
87,494,165
65,495,165
57,496,166
83,497,166
76,498,166
37,499,167
94,500,167
35,501,167
64,502,168
84,503,168
80,504,168
25,505,169
93,506,169
26,507,169
23,508,170
92,509,170
24,510,170
55,511,171
100,512,171
83,513,171
27,514,172
88,515,172
2,516,172
28,517,173
92,518,173
23,519,173
76,520,174
98,521,174
63,522,174
83,523,175
100,524,175
76,525,175
81,526,176
101,527,176
18,528,176
12,529,177
95,530,177
27,531,177
27,532,178
95,533,178
77,534,178
61,535,179
97,536,179
90,537,179
27,538,180
99,539,180
88,540,180
53,541,181
97,542,181
61,543,181
60,544,182
100,545,182
55,546,182
88,547,183
90,548,183
2,549,183
65,550,184
99,551,184
77,552,184
29,553,185
96,554,185
30,555,185
35,556,186
94,557,186
89,558,186
89,559,187
94,560,187
66,561,187
87,562,188
99,563,188
65,564,188
82,565,189
96,566,189
29,567,189
77,568,190
99,569,190
27,570,190
18,571,191
96,572,191
82,573,191
90,574,192
97,575,192
75,576,192
63,577,193
98,578,193
73,579,193
18,580,194
101,581,194
96,582,194
96,583,195
101,584,195
30,585,195
90,586,196
91,587,196
2,588,196
68,589,197
72,590,197
38,591,197
68,592,198
78,593,198
42,594,198
