primal_vertex_tag,dual_element_tag,primal_face_index
2,1,1
16,2,1
12,3,1
1,4,2
14,5,2
4,6,2
12,7,3
16,8,3
11,9,3
4,10,4
14,11,4
9,12,4
7,13,5
14,14,5
13,15,5
8,16,6
12,17,6
11,18,6
4,19,7
9,20,7
3,21,7
5,22,8
12,23,8
8,24,8
8,25,9
10,26,9
6,27,9
5,28,10
8,29,10
6,30,10
3,31,11
12,32,11
5,33,11
5,34,12
6,35,12
4,36,12
3,37,13
5,38,13
4,39,13
8,40,14
11,41,14
10,42,14
11,43,15
16,44,15
7,45,15
10,46,16
11,47,16
7,48,16
7,49,17
13,50,17
10,51,17
2,52,18
12,53,18
3,54,18
4,55,19
6,56,19
1,57,19
7,58,20
15,59,20
14,60,20
13,61,21
14,62,21
1,63,21
7,64,22
16,65,22
15,66,22
3,67,23
17,68,23
2,69,23
9,70,24
17,71,24
3,72,24
10,73,25
13,74,25
6,75,25
16,76,26
17,77,26
15,78,26
14,79,27
15,80,27
9,81,27
15,82,28
17,83,28
9,84,28
6,85,29
13,86,29
1,87,29
2,88,30
17,89,30
16,90,30
