primal_vertex_tag,dual_quadrangle_element_tag,primal_face_index
3,1,1
2,2,1
1,3,1
1,4,2
2,5,2
4,6,2
1,7,3
5,8,3
3,9,3
6,10,4
5,11,4
1,12,4
1,13,5
4,14,5
7,15,5
7,16,6
6,17,6
1,18,6
10,19,7
9,20,7
8,21,7
8,22,8
11,23,8
10,24,8
14,25,9
13,26,9
12,27,9
16,28,10
15,29,10
14,30,10
14,31,11
12,32,11
16,33,11
19,34,12
18,35,12
17,36,12
17,37,13
18,38,13
20,39,13
17,40,14
21,41,14
19,42,14
22,43,15
21,44,15
17,45,15
17,46,16
20,47,16
22,48,16
25,49,17
24,50,17
23,51,17
18,52,18
19,53,18
26,54,18
27,55,19
20,56,19
18,57,19
18,58,20
26,59,20
27,60,20
30,61,21
29,62,21
28,63,21
33,64,22
32,65,22
31,66,22
31,67,23
34,68,23
33,69,23
2,70,24
3,71,24
35,72,24
36,73,25
4,74,25
2,75,25
2,76,26
35,77,26
37,78,26
37,79,27
36,80,27
2,81,27
40,82,28
39,83,28
38,84,28
38,85,29
41,86,29
40,87,29
44,88,30
43,89,30
42,90,30
45,91,31
43,92,31
44,93,31
44,94,32
46,95,32
45,96,32
42,97,33
47,98,33
44,99,33
48,100,34
19,101,34
21,102,34
49,103,35
48,104,35
21,105,35
21,106,36
22,107,36
50,108,36
21,109,37
50,110,37
49,111,37
53,112,38
52,113,38
51,114,38
56,115,39
55,116,39
54,117,39
54,118,40
57,119,40
56,120,40
19,121,41
48,122,41
58,123,41
59,124,42
26,125,42
19,126,42
19,127,43
58,128,43
59,129,43
62,130,44
61,131,44
60,132,44
60,133,45
63,134,45
62,135,45
66,136,46
65,137,46
64,138,46
64,139,47
67,140,47
66,141,47
68,142,48
3,143,48
5,144,48
5,145,49
6,146,49
69,147,49
70,148,50
68,149,50
5,150,50
69,151,51
70,152,51
5,153,51
73,154,52
72,155,52
71,156,52
71,157,53
74,158,53
73,159,53
77,160,54
76,161,54
75,162,54
78,163,55
35,164,55
3,165,55
3,166,56
68,167,56
78,168,56
9,169,57
79,170,57
8,171,57
82,172,58
81,173,58
80,174,58
83,175,59
81,176,59
82,177,59
82,178,60
15,179,60
83,180,60
86,181,61
85,182,61
84,183,61
84,184,62
85,185,62
87,186,62
84,187,63
88,188,63
86,189,63
89,190,64
88,191,64
84,192,64
90,193,65
89,194,65
84,195,65
87,196,66
90,197,66
84,198,66
93,199,67
92,200,67
91,201,67
94,202,68
12,203,68
13,204,68
13,205,69
95,206,69
94,207,69
98,208,70
97,209,70
96,210,70
99,211,71
97,212,71
98,213,71
98,214,72
96,215,72
100,216,72
98,217,73
100,218,73
101,219,73
102,220,74
99,221,74
98,222,74
101,223,75
102,224,75
98,225,75
104,226,76
103,227,76
11,228,76
11,229,77
8,230,77
104,231,77
106,232,78
24,233,78
105,234,78
105,235,79
107,236,79
106,237,79
108,238,80
96,239,80
97,240,80
97,241,81
99,242,81
109,243,81
110,244,82
108,245,82
97,246,82
97,247,83
109,248,83
111,249,83
111,250,84
110,251,84
97,252,84
114,253,85
113,254,85
112,255,85
112,256,86
92,257,86
114,258,86
117,259,87
116,260,87
115,261,87
115,262,88
118,263,88
117,264,88
85,265,89
86,266,89
119,267,89
85,268,90
119,269,90
120,270,90
121,271,91
87,272,91
85,273,91
120,274,92
121,275,92
85,276,92
123,277,93
103,278,93
122,279,93
126,280,94
125,281,94
124,282,94
124,283,95
127,284,95
126,285,95
128,286,96
86,287,96
88,288,96
88,289,97
89,290,97
129,291,97
130,292,98
128,293,98
88,294,98
88,295,99
129,296,99
130,297,99
133,298,100
132,299,100
131,300,100
131,301,101
134,302,101
133,303,101
137,304,102
136,305,102
135,306,102
139,307,103
138,308,103
137,309,103
137,310,104
135,311,104
139,312,104
140,313,105
119,314,105
86,315,105
86,316,106
128,317,106
141,318,106
86,319,107
141,320,107
140,321,107
143,322,108
72,323,108
142,324,108
142,325,109
144,326,109
143,327,109
147,328,110
146,329,110
145,330,110
145,331,111
148,332,111
147,333,111
149,334,112
100,335,112
96,336,112
96,337,113
108,338,113
149,339,113
152,340,114
151,341,114
150,342,114
150,343,115
93,344,115
152,345,115
154,346,116
76,347,116
153,348,116
153,349,117
95,350,117
154,351,117
155,352,118
101,353,118
100,354,118
100,355,119
149,356,119
156,357,119
156,358,120
155,359,120
100,360,120
159,361,121
158,362,121
157,363,121
157,364,122
160,365,122
159,366,122
136,367,123
162,368,123
161,369,123
161,370,124
135,371,124
136,372,124
163,373,125
7,374,125
4,375,125
4,376,126
36,377,126
164,378,126
164,379,127
163,380,127
4,381,127
167,382,128
166,383,128
165,384,128
169,385,129
168,386,129
167,387,129
167,388,130
165,389,130
169,390,130
172,391,131
171,392,131
170,393,131
174,394,132
173,395,132
172,396,132
170,397,133
174,398,133
172,399,133
6,400,134
7,401,134
175,402,134
176,403,135
69,404,135
6,405,135
6,406,136
175,407,136
176,408,136
166,409,137
134,410,137
165,411,137
179,412,138
178,413,138
177,414,138
181,415,139
180,416,139
179,417,139
179,418,140
177,419,140
181,420,140
35,421,141
78,422,141
182,423,141
182,424,142
37,425,142
35,426,142
183,427,143
122,428,143
103,429,143
103,430,144
104,431,144
183,432,144
184,433,145
171,434,145
138,435,145
185,436,146
171,437,146
184,438,146
184,439,147
138,440,147
67,441,147
186,442,148
58,443,148
48,444,148
48,445,149
49,446,149
187,447,149
187,448,150
186,449,150
48,450,150
190,451,151
189,452,151
188,453,151
188,454,152
191,455,152
190,456,152
193,457,153
57,458,153
192,459,153
192,460,154
194,461,154
193,462,154
195,463,155
78,464,155
68,465,155
68,466,156
70,467,156
195,468,156
197,469,157
196,470,157
39,471,157
39,472,158
40,473,158
197,474,158
199,475,159
198,476,159
146,477,159
146,478,160
147,479,160
199,480,160
99,481,161
102,482,161
200,483,161
200,484,162
109,485,162
99,486,162
