diamond_tag,primal_a,primal_b,face_k,face_l
1,1,2,614,642
2,1,42,615,643
3,1,43,580,657
4,1,52,581,658
5,1,392,643,657
6,1,393,581,615
7,1,394,642,658
8,1,395,580,614
9,2,3,609,662
10,2,343,609,791
11,2,344,662,802
12,2,394,642,802
13,2,395,614,791
14,3,4,244,471
15,3,96,244,567
16,3,301,471,675
17,3,343,609,675
18,3,344,567,662
19,4,5,254,739
20,4,89,251,254
21,4,96,244,611
22,4,301,251,471
23,4,376,611,739
24,5,6,263,496
25,5,71,263,621
26,5,89,254,525
27,5,292,496,525
28,5,376,621,739
29,6,7,256,760
30,6,64,256,409
31,6,71,263,629
32,6,292,409,496
33,6,389,629,760
34,7,8,51,295
35,7,64,256,451
36,7,278,51,140
37,7,302,295,451
38,7,389,140,760
39,8,9,301,482
40,8,66,99,301
41,8,278,51,99
42,8,302,295,552
43,8,303,482,552
44,9,10,257,495
45,9,60,257,265
46,9,66,301,394
47,9,303,265,482
48,9,313,394,495
49,10,11,497,740
50,10,60,257,416
51,10,293,416,497
52,10,313,495,685
53,10,377,685,740
54,11,12,260,324
55,11,67,324,637
56,11,72,260,530
57,11,293,497,530
58,11,377,637,740
59,12,13,499,720
60,12,67,324,631
61,12,72,260,432
62,12,294,432,499
63,12,370,631,720
64,13,14,264,331
65,13,61,264,533
66,13,81,331,632
67,13,294,499,533
68,13,370,632,720
69,14,15,501,519
70,14,61,264,534
71,14,81,331,486
72,14,296,501,534
73,14,317,486,519
74,15,16,271,338
75,15,75,271,446
76,15,83,338,561
77,15,296,446,501
78,15,317,519,561
79,16,17,520,627
80,16,75,271,608
81,16,83,338,562
82,16,298,608,627
83,16,319,520,562
84,17,18,274,340
85,17,59,274,491
86,17,86,340,489
87,17,298,491,627
88,17,319,489,520
89,18,19,2,507
90,18,59,274,457
91,18,86,53,340
92,18,273,2,53
93,18,300,457,507
94,19,20,296,341
95,19,74,296,545
96,19,88,71,341
97,19,273,2,71
98,19,300,507,545
99,20,21,502,513
100,20,74,296,474
101,20,88,341,447
102,20,312,474,513
103,20,321,447,502
104,21,22,332,750
105,21,62,332,556
106,21,312,513,556
107,21,321,502,711
108,21,381,711,750
109,22,23,344,521
110,22,62,332,563
111,22,79,344,593
112,22,320,521,563
113,22,381,593,750
114,23,24,348,516
115,23,79,344,485
116,23,84,348,490
117,23,314,485,516
118,23,320,490,521
119,24,25,314,742
120,24,76,314,555
121,24,84,348,638
122,24,314,516,555
123,24,378,638,742
124,25,26,503,684
125,25,76,314,605
126,25,322,503,687
127,25,354,605,684
128,25,378,687,742
129,26,27,273,343
130,26,57,273,597
131,26,87,343,449
132,26,322,449,503
133,26,354,597,684
134,27,28,477,505
135,27,57,273,454
136,27,87,322,343
137,27,306,454,505
138,27,307,322,477
139,28,29,313,339
140,28,85,339,574
141,28,305,313,547
142,28,306,505,547
143,28,307,477,574
144,29,30,267,778
145,29,73,267,458
146,29,85,339,591
147,29,305,313,458
148,29,407,591,778
149,30,31,334,500
150,30,73,267,442
151,30,82,334,681
152,30,295,442,500
153,30,407,681,778
154,31,32,262,518
155,31,58,262,532
156,31,82,334,487
157,31,295,500,532
158,31,316,487,518
159,32,33,89,330
160,32,58,55,262
161,32,80,330,560
162,32,275,55,89
163,32,316,518,560
164,33,34,517,587
165,33,80,330,483
166,33,275,89,484
167,33,315,483,517
168,33,341,484,587
169,34,35,259,320
170,34,65,259,645
171,34,78,320,559
172,34,315,517,559
173,34,341,587,645
174,35,36,512,748
175,35,65,259,626
176,35,78,320,553
177,35,311,512,553
178,35,382,626,748
179,36,37,298,300
180,36,69,298,473
181,36,304,300,633
182,36,311,473,512
183,36,382,633,748
184,37,38,258,506
185,37,69,298,546
186,37,70,258,452
187,37,299,506,546
188,37,304,300,452
189,38,39,272,498
190,38,70,247,258
191,38,77,272,455
192,38,282,247,498
193,38,299,455,506
194,39,40,255,493
195,39,77,272,529
196,39,90,255,564
197,39,282,498,564
198,39,284,493,529
199,40,41,245,775
200,40,90,255,667
201,40,95,245,307
202,40,284,307,493
203,40,411,667,775
204,41,42,579,656
205,41,95,245,636
206,41,339,579,636
207,41,347,656,680
208,41,411,680,775
209,42,339,579,732
210,42,347,656,807
211,42,392,643,732
212,42,393,615,807
213,43,44,464,465
214,43,91,465,784
215,43,92,464,773
216,43,392,657,784
217,43,395,580,773
218,44,45,536,586
219,44,91,221,465
220,44,92,464,571
221,44,286,221,536
222,44,289,571,586
223,45,46,422,423
224,45,53,422,622
225,45,55,423,528
226,45,286,536,622
227,45,289,528,586
228,46,47,218,435
229,46,53,173,422
230,46,55,249,423
231,46,97,173,218
232,46,270,249,435
233,47,48,430,440
234,47,63,430,445
235,47,68,225,440
236,47,97,218,445
237,47,270,225,435
238,48,49,101,217
239,48,63,182,430
240,48,68,440,448
241,48,238,101,182
242,48,271,217,448
243,49,50,420,421
244,49,54,104,420
245,49,56,176,421
246,49,238,101,104
247,49,271,176,217
248,50,51,535,585
249,50,54,420,527
250,50,56,421,623
251,50,288,535,623
252,50,291,527,585
253,51,52,462,463
254,51,93,220,462
255,51,94,463,572
256,51,288,220,535
257,51,291,572,585
258,52,93,462,783
259,52,94,463,774
260,52,393,581,774
261,52,394,658,783
262,53,97,92,173
263,53,179,24,92
264,53,286,619,622
265,53,346,24,619
266,54,238,104,620
267,54,254,18,625
268,54,291,52,527
269,54,330,18,52
270,54,400,620,625
271,55,270,249,734
272,55,289,528,691
273,55,332,600,617
274,55,372,600,691
275,55,387,617,734
276,56,271,176,659
277,56,288,623,780
278,56,356,659,693
279,56,362,693,780
280,57,252,63,192
281,57,253,63,137
282,57,306,454,624
283,57,354,137,597
284,57,366,192,624
285,58,259,98,175
286,58,275,55,98
287,58,295,532,542
288,58,328,175,542
289,59,274,123,186
290,59,298,491,666
291,59,300,123,457
292,59,375,186,666
293,60,268,277,794
294,60,293,277,416
295,60,303,265,712
296,60,367,712,794
297,61,294,533,686
298,61,296,534,697
299,61,350,686,705
300,61,351,697,705
301,62,312,556,717
302,62,320,563,689
303,62,348,689,800
304,62,384,717,800
305,63,97,445,470
306,63,98,470,478
307,63,99,403,478
308,63,238,182,403
309,64,272,27,147
310,64,292,409,735
311,64,302,27,451
312,64,380,147,735
313,65,279,122,603
314,65,336,67,122
315,65,341,67,645
316,65,382,603,626
317,66,262,47,196
318,66,278,99,196
319,66,313,47,394
320,67,308,120,242
321,67,309,120,191
322,67,310,242,644
323,67,370,191,631
324,67,377,637,644
325,68,270,225,706
326,68,271,448,640
327,68,337,630,640
328,68,369,630,706
329,69,280,178,276
330,69,299,480,546
331,69,311,276,473
332,69,331,178,480
333,70,282,247,751
334,70,304,452,460
335,70,359,460,814
336,70,406,751,814
337,71,269,566,577
338,71,281,177,181
339,71,374,177,566
340,71,376,181,621
341,71,389,577,629
342,72,249,38,170
343,72,293,38,530
344,72,294,432,765
345,72,396,170,765
346,73,295,442,647
347,73,305,458,776
348,73,349,647,736
349,73,388,736,776
350,74,264,5,481
351,74,300,5,545
352,74,312,474,744
353,74,379,481,744
354,75,263,96,126
355,75,296,96,446
356,75,297,126,531
357,75,298,531,608
358,76,253,125,213
359,76,283,86,125
360,76,314,86,555
361,76,354,213,605
362,77,284,515,529
363,77,285,515,639
364,77,299,455,589
365,77,345,589,639
366,78,311,553,755
367,78,315,559,793
