primal_vertex_tag,dual_quadrangle_element_tag,primal_face_index
43,1,1
77,2,1
38,3,1
34,4,2
75,5,2
41,6,2
3,7,3
107,8,3
75,9,3
186,10,4
216,11,4
196,12,4
77,13,5
199,14,5
3,15,5
177,16,6
201,17,6
125,18,6
88,19,7
188,20,7
101,21,7
48,22,8
201,23,8
177,24,8
59,25,9
180,26,9
104,27,9
6,28,10
155,29,10
7,30,10
130,31,11
176,32,11
46,33,11
131,34,12
181,35,12
63,36,12
163,37,13
193,38,13
60,39,13
63,40,14
196,41,14
131,42,14
134,43,15
190,44,15
135,45,15
15,46,16
156,47,16
14,48,16
139,49,17
188,50,17
88,51,17
46,52,18
192,53,18
130,54,18
196,55,19
216,56,19
137,57,19
38,58,20
77,59,20
39,60,20
33,61,21
75,62,21
34,63,21
154,64,22
190,65,22
134,66,22
3,67,23
75,68,23
2,69,23
2,70,24
77,71,24
3,72,24
68,73,25
160,74,25
144,75,25
151,76,26
169,77,26
98,78,26
129,79,27
156,80,27
128,81,27
169,82,28
199,83,28
98,84,28
140,85,29
195,86,29
107,87,29
162,88,30
193,89,30
163,90,30
47,91,31
146,92,31
136,93,31
107,94,32
167,95,32
140,96,32
136,97,33
165,98,33
47,99,33
126,100,34
129,101,34
128,102,34
13,103,35
147,104,35
12,105,35
86,106,36
157,107,36
97,108,36
130,109,37
192,110,37
91,111,37
42,112,38
144,113,38
138,114,38
180,115,39
189,116,39
104,117,39
105,118,40
157,119,40
86,120,40
43,121,41
98,122,41
77,123,41
64,124,42
205,125,42
148,126,42
52,127,43
188,128,43
139,129,43
138,130,44
143,131,44
42,132,44
183,133,45
205,134,45
64,135,45
62,136,46
147,137,46
127,138,46
127,139,47
189,140,47
62,141,47
107,142,48
195,143,48
75,144,48
22,145,49
185,146,49
21,147,49
54,148,50
166,149,50
140,150,50
75,151,51
195,152,51
41,153,51
43,154,52
210,155,52
206,156,52
139,157,53
172,158,53
52,159,53
7,160,54
155,161,54
52,162,54
112,163,55
200,164,55
111,165,55
114,166,56
115,167,56
112,168,56
144,169,57
204,170,57
76,171,57
141,172,58
197,173,58
49,174,58
206,175,59
210,176,59
99,177,59
28,178,60
164,179,60
29,180,60
12,181,61
147,182,61
62,183,61
61,184,62
156,185,62
15,186,62
144,187,63
161,188,63
68,189,63
98,190,64
199,191,64
77,192,64
53,193,65
191,194,65
153,195,65
153,196,66
168,197,66
152,198,66
126,199,67
128,200,67
89,201,67
91,202,68
192,203,68
95,204,68
86,205,69
97,206,69
96,207,69
153,208,70
191,209,70
168,210,70
57,211,71
155,212,71
6,213,71
96,214,72
136,215,72
88,216,72
51,217,73
158,218,73
157,219,73
185,220,74
194,221,74
122,222,74
134,223,75
135,224,75
119,225,75
96,226,76
165,227,76
136,228,76
153,229,77
198,230,77
53,231,77
163,232,78
185,233,78
122,234,78
102,235,79
103,236,79
80,237,79
140,238,80
167,239,80
54,240,80
117,241,81
200,242,81
112,243,81
97,244,82
165,245,82
96,246,82
124,247,83
125,248,83
117,249,83
149,250,84
216,251,84
187,252,84
14,253,85
156,254,85
66,255,85
119,256,86
209,257,86
159,258,86
110,259,87
114,260,87
112,261,87
106,262,88
148,263,88
105,264,88
85,265,89
126,266,89
89,267,89
86,268,90
96,269,90
83,270,90
81,271,91
96,272,91
88,273,91
104,274,92
208,275,92
59,276,92
42,277,93
204,278,93
144,279,93
116,280,94
134,281,94
119,282,94
114,283,95
194,284,95
123,285,95
88,286,96
101,287,96
79,288,96
102,289,97
211,290,97
103,291,97
87,292,98
106,293,98
105,294,98
36,295,99
143,296,99
44,297,99
101,298,100
150,299,100
100,300,100
144,301,101
160,302,101
138,303,101
122,304,102
194,305,102
114,306,102
175,307,103
192,308,103
46,309,103
78,310,104
101,311,104
100,312,104
72,313,105
102,314,105
80,315,105
70,316,106
