primal_vertex_tag,dual_quadrangle_element_tag,primal_face_index
578,1,1
1075,2,1
1059,3,1
147,4,2
1387,5,2
1282,6,2
115,7,3
1121,8,3
795,9,3
778,10,4
877,11,4
563,12,4
515,13,5
845,14,5
754,15,5
127,16,6
1075,17,6
739,18,6
714,19,7
1222,20,7
1035,21,7
75,22,8
869,23,8
120,24,8
967,25,9
1155,26,9
729,27,9
30,28,10
920,29,10
29,30,10
258,31,11
762,32,11
761,33,11
1212,34,12
1264,35,12
919,36,12
1035,37,13
1222,38,13
157,39,13
147,40,14
1282,41,14
1209,42,14
795,43,15
1121,44,15
698,45,15
216,46,16
812,47,16
219,48,16
77,49,17
943,50,17
147,51,17
756,52,18
913,53,18
586,54,18
163,55,19
1397,56,19
1041,57,19
865,58,20
1003,59,20
510,60,20
372,61,21
757,62,21
752,63,21
739,64,22
1074,65,22
127,66,22
729,67,23
1319,68,23
967,69,23
1282,70,24
1387,71,24
731,72,24
258,73,25
763,74,25
762,75,25
845,76,26
846,77,26
754,78,26
643,79,27
1015,80,27
999,81,27
797,82,28
1161,83,28
670,84,28
287,85,29
759,86,29
285,87,29
507,88,30
1161,89,30
797,90,30
1184,91,31
1185,92,31
1062,93,31
732,94,32
1095,95,32
736,96,32
945,97,33
946,98,33
773,99,33
736,100,34
1095,101,34
1087,102,34
689,103,35
1266,104,35
883,105,35
510,106,36
1230,107,36
865,108,36
758,109,37
1155,110,37
100,111,37
688,112,38
917,113,38
849,114,38
1062,115,39
1185,116,39
1183,117,39
838,118,40
840,119,40
513,120,40
212,121,41
812,122,41
216,123,41
849,124,42
916,125,42
688,126,42
135,127,43
1193,128,43
1087,129,43
1087,130,44
1193,131,44
736,132,44
953,133,45
1266,134,45
689,135,45
1041,136,46
1055,137,46
163,138,46
1050,139,47
1114,140,47
159,141,47
608,142,48
789,143,48
590,144,48
974,145,49
1018,146,49
150,147,49
239,148,50
880,149,50
237,150,50
1053,151,51
1397,152,51
163,153,51
1059,154,52
1075,155,52
1058,156,52
357,157,53
873,158,53
306,159,53
122,160,54
1244,161,54
994,162,54
757,163,55
1304,164,55
752,165,55
735,166,56
1077,167,56
792,168,56
76,169,57
869,170,57
75,171,57
994,172,58
1299,173,58
122,174,58
509,175,59
1218,176,59
814,177,59
586,178,60
1303,179,60
756,180,60
1077,181,61
1231,182,61
792,183,61
1111,184,62
1264,185,62
137,186,62
871,187,63
911,188,63
165,189,63
893,190,64
1251,191,64
672,192,64
1069,193,65
1264,194,65
1212,195,65
93,196,66
815,197,66
94,198,66
842,199,67
955,200,67
932,201,67
780,202,68
1104,203,68
317,204,68
814,205,69
1218,206,69
810,207,69
93,208,70
1417,209,70
815,210,70
277,211,71
896,212,71
279,213,71
840,214,72
1278,215,72
513,216,72
158,217,73
1043,218,73
787,219,73
292,220,74
888,221,74
294,222,74
103,223,75
902,224,75
870,225,75
145,226,76
1210,227,76
1142,228,76
705,229,77
1110,230,77
272,231,77
95,232,78
939,233,78
94,234,78
319,235,79
1178,236,79
355,237,79
988,238,80
1350,239,80
1084,240,80
317,241,81
1194,242,81
780,243,81
259,244,82
880,245,82
239,246,82
639,247,83
1045,248,83
626,249,83
137,250,84
1264,251,84
1069,252,84
29,253,85
920,254,85
160,255,85
952,256,86
1335,257,86
101,258,86
1050,259,87
1357,260,87
1114,261,87
1058,262,88
1075,263,88
127,264,88
778,265,89
949,266,89
558,267,89
558,268,90
1346,269,90
778,270,90
626,271,91
1045,272,91
730,273,91
643,274,92
1016,275,92
1015,276,92
114,277,93
920,278,93
30,279,93
999,280,94
1015,281,94
148,282,94
1012,283,95
1140,284,95
176,285,95
974,286,96
1244,287,96
1018,288,96
1138,289,97
1180,290,97
529,291,97
1143,292,98
1282,293,98
1171,294,98
563,295,99
949,296,99
778,297,99
1119,298,100
1235,299,100
720,300,100
1041,301,101
1198,302,101
1055,303,101
290,304,102
1192,305,102
784,306,102
845,307,103
848,308,103
847,309,103
602,310,104
907,311,104
906,312,104
759,313,105
891,314,105
285,315,105
1110,316,106
1317,317,106
272,318,106
1012,319,107
1318,320,107
1140,321,107
361,322,108
873,323,108
357,324,108
1123,325,109
1250,326,109
1086,327,109
1071,328,110
1101,329,110
1072,330,110
294,331,111
888,332,111
335,333,111
761,334,112
798,335,112
258,336,112
126,337,113
910,338,113
745,339,113
817,340,114
818,341,114
125,342,114
816,343,115
817,344,115
125,345,115
831,346,116
1378,347,116
852,348,116
784,349,117
1385,350,117
290,351,117
113,352,118
1345,353,118
792,354,118
827,355,119
1378,356,119
831,357,119
1180,358,120
1353,359,120
529,360,120
1222,361,121
1367,362,121
157,363,121
327,364,122
811,365,122
810,366,122
157,367,123
1367,368,123
1039,369,123
355,370,124
1178,371,124
796,372,124
132,373,125
1166,374,125
801,375,125
711,376,126
1250,377,126
1123,378,126
101,379,127
953,380,127
952,381,127
617,382,128
1079,383,128
545,384,128
76,385,129
943,386,129
77,387,129
894,388,130
1187,389,130
1135,390,130
1142,391,131
1360,392,131
145,393,131
707,394,132
1201,395,132
1096,396,132
173,397,133
1251,398,133
893,399,133
279,400,134
896,401,134
330,402,134
1059,403,135
1285,404,135
578,405,135
752,406,136
876,407,136
372,408,136
295,409,137
843,410,137
293,411,137
754,412,138
885,413,138
515,414,138
1148,415,139
1216,416,139
683,417,139
1046,418,140
1047,419,140
853,420,140
861,421,141
1374,422,141
1223,423,141
1143,424,142
1171,425,142
174,426,142
287,427,143
921,428,143
759,429,143
745,430,144
1197,431,144
126,432,144
1135,433,145
1187,434,145
178,435,145
94,436,146
939,437,146
901,438,146
545,439,147
1079,440,147
680,441,147
893,442,148
894,443,148
173,444,148
324,445,149
843,446,149
295,447,149
110,448,150
1046,449,150
853,450,150
943,451,151
1387,452,151
147,453,151
219,454,152
812,455,152
327,456,152
1264,457,153
1308,458,153
919,459,153
191,460,154
839,461,154
189,462,154
612,463,155
1123,464,155
1086,465,155
236,466,156
834,467,156
238,468,156
869,469,157
1344,470,157
120,471,157
1084,472,158
1350,473,158
169,474,158
180,475,159
824,476,159
182,477,159
698,478,160
1121,479,160
1068,480,160
1274,481,161
1284,482,161
604,483,161
130,484,162
1279,485,162
977,486,162
327,487,163
810,488,163
809,489,163
1093,490,164
1094,491,164
695,492,164
882,493,165
913,494,165
756,495,165
136,496,166
1226,497,166
744,498,166
977,499,167
1325,500,167
130,501,167
773,502,168
1245,503,168
945,504,168
843,505,169
955,506,169
842,507,169
742,508,170
1248,509,170
112,510,170
1055,511,171
1198,512,171
133,513,171
1183,514,172
1185,515,172
724,516,172
100,517,173
1236,518,173
758,519,173
112,520,174
1354,521,174
742,522,174
608,523,175
1400,524,175
789,525,175
1011,526,176
1299,527,176
1139,528,176
1084,529,177
1189,530,177
988,531,177
1079,532,178
1345,533,178
113,534,178
744,535,179
1386,536,179
136,537,179
801,538,180
1391,539,180
132,540,180
871,541,181
998,542,181
911,543,181
111,544,182
1101,545,182
1071,546,182
271,547,183
839,548,183
191,549,183
877,550,184
1261,551,184
563,552,184
272,553,185
834,554,185
236,555,185
789,556,186
799,557,186
590,558,186
548,559,187
897,560,187
549,561,187
570,562,188
1105,563,188
1013,564,188
724,565,189
1269,566,189
1183,567,189
895,568,190
896,569,190
277,570,190
938,571,191
1234,572,191
514,573,191
585,574,192
824,575,192
180,576,192
894,577,193
1135,578,193
173,579,193
160,580,194
1312,581,194
1226,582,194
946,583,195
1220,584,195
773,585,195
1226,586,196
1312,587,196
744,588,196
276,589,197
1255,590,197
1199,591,197
609,592,198
1165,593,198
1065,594,198
909,595,199
920,596,199
114,597,199
906,598,200
907,599,200
661,600,200
174,601,201
939,602,201
95,603,201
523,604,202
1213,605,202
524,606,202
1068,607,203
1225,608,203
698,609,203
870,610,204
1398,611,204
103,612,204
306,613,205
873,614,205
872,615,205
1067,616,206
1235,617,206
1119,618,206
1086,619,207
1399,620,207
612,621,207
807,622,208
1401,623,208
592,624,208
237,625,209
880,626,209
879,627,209
861,628,210
1223,629,210
260,630,210
592,631,211
1401,632,211
717,633,211
466,634,212
914,635,212
468,636,212
990,637,213
1254,638,213
169,639,213
1155,640,214
1259,641,214
100,642,214
601,643,215
992,644,215
603,645,215
723,646,216
1269,647,216
724,648,216
800,649,217
802,650,217
144,651,217
906,652,218
1389,653,218
602,654,218
707,655,219
1096,656,219
760,657,219
1043,658,220
1265,659,220
787,660,220
102,661,221
1417,662,221
93,663,221
684,664,222
1120,665,222
1066,666,222
887,667,223
888,668,223
292,669,223
998,670,224
1284,671,224
1274,672,224
738,673,225
875,674,225
874,675,225
846,676,226
1289,677,226
320,678,226
114,679,227
919,680,227
909,681,227
868,682,228
1199,683,228
864,684,228
752,685,229
1304,686,229
753,687,229
1065,688,230
1390,689,230
609,690,230
320,691,231
1327,692,231
846,693,231
1227,694,232
1272,695,232
266,696,232
1190,697,233
1252,698,233
1108,699,233
1221,700,234
1287,701,234
39,702,234
695,703,235
1267,704,235
1093,705,235
1223,706,236
1374,707,236
777,708,236
723,709,237
1357,710,237
1269,711,237
169,712,238
1350,713,238
990,714,238
1081,715,239
1246,716,239
785,717,239
680,718,240
1079,719,240
1078,720,240
990,721,241
1193,722,241
135,723,241
129,724,242
1367,725,242
1159,726,242
671,727,243
1155,728,243
967,729,243
384,730,244
921,731,244
318,732,244
94,733,245
901,734,245
93,735,245
848,736,246
1409,737,246
847,738,246
977,739,247
1279,740,247
976,741,247
549,742,248
897,743,248
552,744,248
272,745,249
1317,746,249
834,747,249
166,748,250
1081,749,250
785,750,250
1096,751,251
1201,752,251
142,753,251
293,754,252
843,755,252
841,756,252
683,757,253
1216,758,253
942,759,253
134,760,254
1246,761,254
1081,762,254
870,763,255
902,764,255
181,765,255
528,766,256
940,767,256
852,768,256
860,769,257
1374,770,257
1104,771,257
777,772,258
1374,773,258
860,774,258
102,775,259
793,776,259
786,777,259
135,778,260
1254,779,260
990,780,260
1279,781,261
1379,782,261
976,783,261
441,784,262
866,785,262
865,786,262
230,787,263
809,788,263
790,789,263
468,790,264
914,791,264
706,792,264
1139,793,265
1299,794,265
994,795,265
833,796,266
914,797,266
466,798,266
1171,799,267
1282,800,267
731,801,267
112,802,268
1248,803,268
760,804,268
717,805,269
921,806,269
384,807,269
99,808,270
900,809,270
899,810,270
825,811,271
828,812,271
826,813,271
785,814,272
1224,815,272
166,816,272
524,817,273
1213,818,273
937,819,273
214,820,274
868,821,274
188,822,274
524,823,275
937,824,275
612,825,275
792,826,276
1231,827,276
113,828,276
257,829,277
875,830,277
262,831,277
809,832,278
810,833,278
790,834,278
584,835,279
1372,836,279
1186,837,279
937,838,280
1123,839,280
612,840,280
867,841,281
1333,842,281
1271,843,281
441,844,282
865,845,282
806,846,282
577,847,283
1167,848,283
1099,849,283
1013,850,284
1315,851,284
570,852,284
756,853,285
1303,854,285
757,855,285
822,856,286
824,857,286
823,858,286
1199,859,287
1255,860,287
864,861,287
834,862,288
1317,863,288
914,864,288
320,865,289
1178,866,289
319,867,289
241,868,290
876,869,290
280,870,290
1177,871,291
1224,872,291
676,873,291
827,874,292
831,875,292
229,876,292
1271,877,293
1333,878,293
863,879,293
204,880,294
885,881,294
273,882,294
844,883,295
848,884,295
845,885,295
940,886,296
1359,887,296
982,888,296
603,889,297
992,890,297
909,891,297
249,892,298
872,893,298
621,894,298
99,895,299
899,896,299
898,897,299
247,898,300
882,899,300
756,900,300
189,901,301
839,902,301
837,903,301
262,904,302
875,905,302
502,906,302
296,907,303
884,908,303
660,909,303
182,910,304
824,911,304
821,912,304
238,913,305
834,914,305
832,915,305
760,916,306
1348,917,306
112,918,306
414,919,307
879,920,307
829,921,307
797,922,308
1272,923,308
1227,924,308
1114,925,309
1357,926,309
723,927,309
762,928,310
897,929,310
548,930,310
852,931,311
1378,932,311
528,933,311
850,934,312
852,935,312
851,936,312
259,937,313
924,938,313
880,939,313
274,940,314
822,941,314
343,942,314
444,943,315
1122,944,315
673,945,315
772,946,316
860,947,316
775,948,316
639,949,317
1172,950,317
1045,951,317
835,952,318
886,953,318
397,954,318
720,955,319
1329,956,319
1119,957,319
920,958,320
1312,959,320
160,960,320
982,961,321
1371,962,321
940,963,321
923,964,322
1154,965,322
751,966,322
370,967,323
1122,968,323
444,969,323
716,970,324
1247,971,324
925,972,324
254,973,325
798,974,325
253,975,325
802,976,326
976,977,326
144,978,326
1013,979,327
1318,980,327
1012,981,327
763,982,328
764,983,328
762,984,328
153,985,329
1047,986,329
1046,987,329
1161,988,330
1263,989,330
710,990,330
845,991,331
847,992,331
846,993,331
932,994,332
933,995,332
842,996,332
193,997,333
895,998,333
277,999,333
1181,1000,334
1196,1001,334
1034,1002,334
794,1003,335
1179,1004,335
168,1005,335
673,1006,336
1152,1007,336
674,1008,336
1141,1009,337
1207,1010,337
1142,1011,337
1114,1012,338
1215,1013,338
159,1014,338
1263,1015,339
1281,1016,339
710,1017,339
683,1018,340
942,1019,340
791,1020,340
258,1021,341
798,1022,341
254,1023,341
214,1024,342
1199,1025,342
868,1026,342
280,1027,343
876,1028,343
752,1029,343
358,1030,344
833,1031,344
466,1032,344
1139,1033,345
1315,1034,345
1011,1035,345
1295,1036,346
1296,1037,346
596,1038,346
787,1039,347
1294,1040,347
158,1041,347
1228,1042,348
1400,1043,348
608,1044,348
890,1045,349
1372,1046,349
584,1047,349
273,1048,350
885,1049,350
754,1050,350
1053,1051,351
1273,1052,351
605,1053,351
435,1054,352
1154,1055,352
923,1056,352
963,1057,353
1287,1058,353
1221,1059,353
93,1060,354
901,1061,354
99,1062,354
1078,1063,355
1080,1064,355
680,1065,355
992,1066,356
1312,1067,356
920,1068,356
981,1069,357
1178,1070,357
